Word,Word_Start_Time,Word_End_Time,Phoneme,Phoneme_Position,Phoneme_Start_Time,Phoneme_End_Time
[SIL],22.34,22.85,[SIL],1,22.34,22.85
mine,22.85,22.86,AY,1,22.85,22.86
[SIL],22.86,22.9,[SIL],1,22.86,22.9
mine,22.9,22.92,AY,1,22.9,22.92
[SIL],22.92,22.97,[SIL],1,22.92,22.97
mine,22.97,23.21,AY,1,22.97,23.15
mine,22.97,23.21,N,2,23.15,23.21
[SIL],23.21,23.33,[SIL],1,23.21,23.33
mine,23.33,23.36,N,1,23.33,23.36
[SIL],23.36,24.08,[SIL],1,23.36,24.08
is,24.08,24.09,IH,1,24.08,24.09
[SIL],24.09,24.86,[SIL],1,24.09,24.86
is,24.86,24.91,Z,1,24.86,24.91
orange,24.91,24.94,AO,1,24.91,24.92
orange,24.91,24.94,R,2,24.92,24.93
orange,24.91,24.94,AH,3,24.93,24.94
[SIL],24.94,25.3,[SIL],1,24.94,25.3
orange,25.3,25.32,N,1,25.3,25.31
orange,25.3,25.32,JH,2,25.31,25.32
mine,25.32,25.37,M,1,25.32,25.33
mine,25.32,25.37,AY,2,25.33,25.36
mine,25.32,25.37,N,3,25.36,25.37
[SIL],25.37,27.65,[SIL],1,25.37,27.65
is,27.65,27.67,IH,1,27.65,27.66
is,27.65,27.67,Z,2,27.66,27.67
red,27.67,27.68,R,1,27.67,27.68
[SIL],27.68,27.86,[SIL],1,27.68,27.86
red,27.86,27.88,EH,1,27.86,27.87
red,27.86,27.88,D,2,27.87,27.88
[SIL],27.88,29.66,[SIL],1,27.88,29.66
red,29.66,29.67,D,1,29.66,29.67
george,29.67,29.91,JH,1,29.67,29.72
george,29.67,29.91,AO,2,29.72,29.8
george,29.67,29.91,R,3,29.8,29.84
george,29.67,29.91,JH,4,29.84,29.91
what's,29.91,30.05,W,1,29.91,29.92
what's,29.91,30.05,AH,2,29.92,29.99
what's,29.91,30.05,T,3,29.99,30.0
what's,29.91,30.05,S,4,30.0,30.05
your,30.05,30.08,Y,1,30.05,30.06
your,30.05,30.08,AO,2,30.06,30.07
your,30.05,30.08,R,3,30.07,30.08
favourite,30.08,30.21,F,1,30.08,30.14
favourite,30.08,30.21,AE,2,30.14,30.15
favourite,30.08,30.21,V,3,30.15,30.16
favourite,30.08,30.21,Y,4,30.16,30.17
favourite,30.08,30.21,UW,5,30.17,30.18
favourite,30.08,30.21,R,6,30.18,30.19
favourite,30.08,30.21,AY,7,30.19,30.2
favourite,30.08,30.21,T,8,30.2,30.21
colour,30.21,30.26,K,1,30.21,30.22
colour,30.21,30.26,AH,2,30.22,30.23
colour,30.21,30.26,L,3,30.23,30.24
colour,30.21,30.26,AW,4,30.24,30.25
colour,30.21,30.26,R,5,30.25,30.26
george's,30.26,30.32,JH,1,30.26,30.27
george's,30.26,30.32,AO,2,30.27,30.28
george's,30.26,30.32,R,3,30.28,30.29
george's,30.26,30.32,JH,4,30.29,30.3
george's,30.26,30.32,AH,5,30.3,30.31
george's,30.26,30.32,Z,6,30.31,30.32
favourite,30.32,30.44,F,1,30.32,30.33
favourite,30.32,30.44,AE,2,30.33,30.34
favourite,30.32,30.44,V,3,30.34,30.35
favourite,30.32,30.44,Y,4,30.35,30.36
favourite,30.32,30.44,UW,5,30.36,30.37
favourite,30.32,30.44,R,6,30.37,30.38
favourite,30.32,30.44,AY,7,30.38,30.39
favourite,30.32,30.44,T,8,30.39,30.44
[SIL],30.44,30.49,[SIL],1,30.44,30.49
colour,30.49,30.75,K,1,30.49,30.54
colour,30.49,30.75,AH,2,30.54,30.6
colour,30.49,30.75,L,3,30.6,30.73
colour,30.49,30.75,AW,4,30.73,30.74
colour,30.49,30.75,R,5,30.74,30.75
[SIL],30.75,30.84,[SIL],1,30.75,30.84
is,30.84,31.01,IH,1,30.84,30.95
is,30.84,31.01,Z,2,30.95,31.01
[SIL],31.01,31.2,[SIL],1,31.01,31.2
blue,31.2,31.48,B,1,31.2,31.21
blue,31.2,31.48,L,2,31.21,31.28
blue,31.2,31.48,UW,3,31.28,31.48
let's,31.48,31.5,L,1,31.48,31.5
[SIL],31.5,32.59,[SIL],1,31.5,32.59
let's,32.59,32.97,L,1,32.59,32.62
let's,32.59,32.97,EH,2,32.62,32.71
let's,32.59,32.97,T,3,32.71,32.81
let's,32.59,32.97,S,4,32.81,32.97
see,32.97,33.08,IY,1,32.97,33.08
which,33.08,33.31,W,1,33.08,33.15
which,33.08,33.31,IH,2,33.15,33.22
which,33.08,33.31,CH,3,33.22,33.31
colour,33.31,33.33,K,1,33.31,33.33
[SIL],33.33,33.37,[SIL],1,33.33,33.37
colour,33.37,33.7,K,1,33.37,33.48
colour,33.37,33.7,AH,2,33.48,33.67
colour,33.37,33.7,L,3,33.67,33.68
colour,33.37,33.7,AW,4,33.68,33.69
colour,33.37,33.7,R,5,33.69,33.7
car,33.7,33.99,K,1,33.7,33.79
car,33.7,33.99,AA,2,33.79,33.98
car,33.7,33.99,R,3,33.98,33.99
comes,33.99,34.3,K,1,33.99,34.12
comes,33.99,34.3,AH,2,34.12,34.26
comes,33.99,34.3,M,3,34.26,34.27
comes,33.99,34.3,Z,4,34.27,34.3
along,34.3,34.6,AH,1,34.3,34.53
along,34.3,34.6,L,2,34.53,34.58
along,34.3,34.6,AO,3,34.58,34.59
along,34.3,34.6,NG,4,34.59,34.6
[SIL],34.6,34.73,[SIL],1,34.6,34.73
first,34.73,35.16,F,1,34.73,34.79
first,34.73,35.16,ER,2,34.79,35.06
first,34.73,35.16,S,3,35.06,35.16
[SIL],35.16,35.97,[SIL],1,35.16,35.97
first,35.97,35.98,T,1,35.97,35.98
ok,35.98,36.01,OW,1,35.98,35.99
ok,35.98,36.01,K,2,35.99,36.0
ok,35.98,36.01,EY,3,36.0,36.01
[SIL],36.01,37.44,[SIL],1,36.01,37.44
here,37.44,37.65,HH,1,37.44,37.46
here,37.44,37.65,IY,2,37.46,37.57
here,37.44,37.65,R,3,37.57,37.65
is,37.65,37.75,IH,1,37.65,37.68
is,37.65,37.75,Z,2,37.68,37.75
[SIL],37.75,37.84,[SIL],1,37.75,37.84
candycat,37.84,38.18,K,1,37.84,37.92
candycat,37.84,38.18,AE,2,37.92,38.0
candycat,37.84,38.18,N,3,38.0,38.04
candycat,37.84,38.18,D,4,38.04,38.11
candycat,37.84,38.18,AH,5,38.11,38.14
candycat,37.84,38.18,K,6,38.14,38.18
[SIL],38.18,38.22,[SIL],1,38.18,38.22
candycat,38.22,38.44,K,1,38.22,38.28
candycat,38.22,38.44,AE,2,38.28,38.42
candycat,38.22,38.44,T,3,38.42,38.44
[SIL],38.44,38.5,[SIL],1,38.44,38.5
in,38.5,38.8,IH,1,38.5,38.56
in,38.5,38.8,N,2,38.56,38.8
her,38.8,38.81,HH,1,38.8,38.81
[SIL],38.81,38.93,[SIL],1,38.81,38.93
her,38.93,38.94,ER,1,38.93,38.94
green,38.94,39.33,G,1,38.94,38.95
green,38.94,39.33,R,2,38.95,39.02
green,38.94,39.33,IY,3,39.02,39.14
green,38.94,39.33,N,4,39.14,39.33
car,39.33,39.72,K,1,39.33,39.42
car,39.33,39.72,AA,2,39.42,39.68
car,39.33,39.72,R,3,39.68,39.72
[SIL],39.72,40.14,[SIL],1,39.72,40.14
car,40.14,40.29,R,1,40.14,40.29
green,40.29,40.3,G,1,40.29,40.3
[SIL],40.3,40.37,[SIL],1,40.3,40.37
green,40.37,40.54,R,1,40.37,40.54
[SIL],40.54,41.01,[SIL],1,40.54,41.01
green,41.01,41.47,R,1,41.01,41.19
green,41.01,41.47,IY,2,41.19,41.47
[SIL],41.47,41.57,[SIL],1,41.47,41.57
green,41.57,41.6,N,1,41.57,41.6
[SIL],41.6,41.98,[SIL],1,41.6,41.98
that's,41.98,42.26,DH,1,41.98,42.0
that's,41.98,42.26,AE,2,42.0,42.11
that's,41.98,42.26,T,3,42.11,42.21
that's,41.98,42.26,S,4,42.21,42.26
my,42.26,42.29,M,1,42.26,42.29
[SIL],42.29,42.38,[SIL],1,42.29,42.38
my,42.38,42.39,M,1,42.38,42.39
[SIL],42.39,42.43,[SIL],1,42.39,42.43
my,42.43,42.68,M,1,42.43,42.44
my,42.43,42.68,AY,2,42.44,42.68
favourite,42.68,43.19,F,1,42.68,42.69
favourite,42.68,43.19,AE,2,42.69,42.7
favourite,42.68,43.19,V,3,42.7,42.8
favourite,42.68,43.19,Y,4,42.8,42.81
favourite,42.68,43.19,UW,5,42.81,42.82
favourite,42.68,43.19,R,6,42.82,43.17
favourite,42.68,43.19,AY,7,43.17,43.18
favourite,42.68,43.19,T,8,43.18,43.19
colour,43.19,43.23,K,1,43.19,43.23
[SIL],43.23,43.3,[SIL],1,43.23,43.3
colour,43.3,43.72,K,1,43.3,43.4
colour,43.3,43.72,AH,2,43.4,43.48
colour,43.3,43.72,L,3,43.48,43.7
colour,43.3,43.72,AW,4,43.7,43.71
colour,43.3,43.72,R,5,43.71,43.72
[SIL],43.72,44.21,[SIL],1,43.72,44.21
i,44.21,44.25,AY,1,44.21,44.25
[SIL],44.25,44.31,[SIL],1,44.25,44.31
i,44.31,44.45,AY,1,44.31,44.45
[SIL],44.45,44.56,[SIL],1,44.45,44.56
win,44.56,44.89,W,1,44.56,44.63
win,44.56,44.89,IH,2,44.63,44.84
win,44.56,44.89,N,3,44.84,44.89
hello,44.89,44.97,HH,1,44.89,44.9
hello,44.89,44.97,AH,2,44.9,44.91
hello,44.89,44.97,L,3,44.91,44.97
[SIL],44.97,45.01,[SIL],1,44.97,45.01
hello,45.01,45.11,L,1,45.01,45.11
[SIL],45.11,45.31,[SIL],1,45.11,45.31
hello,45.31,45.43,L,1,45.31,45.43
[SIL],45.43,45.66,[SIL],1,45.43,45.66
hello,45.66,45.76,L,1,45.66,45.76
[SIL],45.76,46.35,[SIL],1,45.76,46.35
hello,46.35,46.36,OW,1,46.35,46.36
[SIL],46.36,46.48,[SIL],1,46.36,46.48
candy,46.48,46.68,K,1,46.48,46.5
candy,46.48,46.68,AE,2,46.5,46.68
[SIL],46.68,46.74,[SIL],1,46.68,46.74
candy,46.74,46.79,AE,1,46.74,46.79
[SIL],46.79,46.85,[SIL],1,46.79,46.85
candy,46.85,47.01,AE,1,46.85,47.01
[SIL],47.01,47.21,[SIL],1,47.01,47.21
candy,47.21,47.26,AE,1,47.21,47.26
[SIL],47.26,47.75,[SIL],1,47.26,47.75
candy,47.75,47.94,AE,1,47.75,47.94
[SIL],47.94,48.06,[SIL],1,47.94,48.06
candy,48.06,48.13,AE,1,48.06,48.13
[SIL],48.13,48.21,[SIL],1,48.13,48.21
candy,48.21,48.5,AE,1,48.21,48.5
[SIL],48.5,48.58,[SIL],1,48.5,48.58
candy,48.58,48.67,AE,1,48.58,48.67
[SIL],48.67,48.75,[SIL],1,48.67,48.75
candy,48.75,49.03,AE,1,48.75,49.03
[SIL],49.03,49.12,[SIL],1,49.03,49.12
candy,49.12,49.15,N,1,49.12,49.13
candy,49.12,49.15,D,2,49.13,49.14
candy,49.12,49.15,IY,3,49.14,49.15
hello,49.15,49.38,HH,1,49.15,49.16
hello,49.15,49.38,AH,2,49.16,49.17
hello,49.15,49.38,L,3,49.17,49.38
[SIL],49.38,49.42,[SIL],1,49.38,49.42
hello,49.42,49.66,L,1,49.42,49.66
[SIL],49.66,49.73,[SIL],1,49.66,49.73
hello,49.73,49.9,L,1,49.73,49.9
[SIL],49.9,50.08,[SIL],1,49.9,50.08
hello,50.08,50.2,L,1,50.08,50.2
[SIL],50.2,51.13,[SIL],1,50.2,51.13
hello,51.13,51.14,OW,1,51.13,51.14
pepper,51.14,51.18,P,1,51.14,51.15
pepper,51.14,51.18,EH,2,51.15,51.16
pepper,51.14,51.18,P,3,51.16,51.17
pepper,51.14,51.18,ER,4,51.17,51.18
here,51.18,51.36,HH,1,51.18,51.19
here,51.18,51.36,IY,2,51.19,51.28
here,51.18,51.36,R,3,51.28,51.36
is,51.36,51.49,IH,1,51.36,51.41
is,51.36,51.49,Z,2,51.41,51.49
[SIL],51.49,51.58,[SIL],1,51.49,51.58
danny,51.58,51.83,D,1,51.58,51.62
danny,51.58,51.83,AE,2,51.62,51.7
danny,51.58,51.83,N,3,51.7,51.82
danny,51.58,51.83,IY,4,51.82,51.83
dog,51.83,51.87,D,1,51.83,51.87
[SIL],51.87,51.93,[SIL],1,51.87,51.93
dog,51.93,52.17,D,1,51.93,52.0
dog,51.93,52.17,AO,2,52.0,52.15
dog,51.93,52.17,G,3,52.15,52.17
[SIL],52.17,52.38,[SIL],1,52.17,52.38
in,52.38,52.49,IH,1,52.38,52.44
in,52.38,52.49,N,2,52.44,52.49
[SIL],52.49,52.63,[SIL],1,52.49,52.63
grandag,52.63,52.99,G,1,52.63,52.64
grandag,52.63,52.99,R,2,52.64,52.69
grandag,52.63,52.99,AE,3,52.69,52.74
grandag,52.63,52.99,N,4,52.74,52.82
grandag,52.63,52.99,D,5,52.82,52.88
grandag,52.63,52.99,AE,6,52.88,52.98
grandag,52.63,52.99,G,7,52.98,52.99
dog's,52.99,53.01,D,1,52.99,53.01
[SIL],53.01,53.1,[SIL],1,53.01,53.1
dog's,53.1,53.26,D,1,53.1,53.14
dog's,53.1,53.26,AO,2,53.14,53.24
dog's,53.1,53.26,G,3,53.24,53.26
[SIL],53.26,53.32,[SIL],1,53.26,53.32
dog's,53.32,53.33,Z,1,53.32,53.33
breakdown,53.33,53.34,B,1,53.33,53.34
[SIL],53.34,53.48,[SIL],1,53.34,53.48
breakdown,53.48,53.67,R,1,53.48,53.56
breakdown,53.48,53.67,EY,2,53.56,53.6
breakdown,53.48,53.67,K,3,53.6,53.67
[SIL],53.67,53.72,[SIL],1,53.67,53.72
breakdown,53.72,53.95,K,1,53.72,53.73
breakdown,53.72,53.95,D,2,53.73,53.79
breakdown,53.72,53.95,AW,3,53.79,53.8
breakdown,53.72,53.95,N,4,53.8,53.95
[SIL],53.95,54.02,[SIL],1,53.95,54.02
truck,54.02,54.07,T,1,54.02,54.03
truck,54.02,54.07,R,2,54.03,54.04
truck,54.02,54.07,AH,3,54.04,54.05
truck,54.02,54.07,K,4,54.05,54.07
orange,54.07,54.15,AO,1,54.07,54.08
orange,54.07,54.15,R,2,54.08,54.09
orange,54.07,54.15,AH,3,54.09,54.13
orange,54.07,54.15,N,4,54.13,54.14
orange,54.07,54.15,JH,5,54.14,54.15
so,54.15,54.17,S,1,54.15,54.16
so,54.15,54.17,OW,2,54.16,54.17
[SIL],54.17,55.05,[SIL],1,54.17,55.05
i,55.05,55.07,AY,1,55.05,55.07
[SIL],55.07,55.93,[SIL],1,55.07,55.93
i,55.93,55.99,AY,1,55.93,55.99
[SIL],55.99,56.03,[SIL],1,55.99,56.03
win,56.03,56.06,W,1,56.03,56.04
win,56.03,56.06,IH,2,56.04,56.05
win,56.03,56.06,N,3,56.05,56.06
hello,56.06,56.08,HH,1,56.06,56.07
hello,56.06,56.08,AH,2,56.07,56.08
[SIL],56.08,56.12,[SIL],1,56.08,56.12
hello,56.12,56.23,AH,1,56.12,56.21
hello,56.12,56.23,L,2,56.21,56.22
hello,56.12,56.23,OW,3,56.22,56.23
danny,56.23,56.27,D,1,56.23,56.24
danny,56.23,56.27,AE,2,56.24,56.25
danny,56.23,56.27,N,3,56.25,56.26
danny,56.23,56.27,IY,4,56.26,56.27
[SIL],56.27,59.96,[SIL],1,56.27,59.96
hello,59.96,59.99,HH,1,59.96,59.97
hello,59.96,59.99,AH,2,59.97,59.99
[SIL],59.99,60.06,[SIL],1,59.99,60.06
hello,60.06,60.11,AH,1,60.06,60.11
[SIL],60.11,60.24,[SIL],1,60.11,60.24
hello,60.24,60.38,AH,1,60.24,60.36
hello,60.24,60.38,L,2,60.36,60.37
hello,60.24,60.38,OW,3,60.37,60.38
pepper,60.38,60.41,P,1,60.38,60.39
pepper,60.38,60.41,EH,2,60.39,60.4
pepper,60.38,60.41,P,3,60.4,60.41
[SIL],60.41,60.98,[SIL],1,60.41,60.98
pepper,60.98,60.99,ER,1,60.98,60.99
here,60.99,61.01,HH,1,60.99,61.0
here,60.99,61.01,IY,2,61.0,61.01
[SIL],61.01,61.09,[SIL],1,61.01,61.09
here,61.09,61.1,R,1,61.09,61.1
is,61.1,61.11,IH,1,61.1,61.11
[SIL],61.11,61.16,[SIL],1,61.11,61.16
is,61.16,61.21,Z,1,61.16,61.21
another,61.21,61.72,AH,1,61.21,61.35
another,61.21,61.72,N,2,61.35,61.45
another,61.21,61.72,AH,3,61.45,61.7
another,61.21,61.72,DH,4,61.7,61.71
another,61.21,61.72,ER,5,61.71,61.72
car,61.72,62.23,K,1,61.72,61.85
car,61.72,62.23,AA,2,61.85,62.15
car,61.72,62.23,R,3,62.15,62.23
[SIL],62.23,63.96,[SIL],1,62.23,63.96
it's,63.96,63.97,IH,1,63.96,63.97
[SIL],63.97,65.03,[SIL],1,63.97,65.03
it's,65.03,65.05,IH,1,65.03,65.05
[SIL],65.05,65.12,[SIL],1,65.05,65.12
it's,65.12,65.13,IH,1,65.12,65.13
[SIL],65.13,66.38,[SIL],1,65.13,66.38
it's,66.38,66.39,IH,1,66.38,66.39
[SIL],66.39,68.33,[SIL],1,66.39,68.33
it's,68.33,68.34,T,1,68.33,68.34
[SIL],68.34,68.42,[SIL],1,68.34,68.42
it's,68.42,68.47,S,1,68.42,68.47
[SIL],68.47,68.64,[SIL],1,68.47,68.64
suzy,68.64,68.67,UW,1,68.64,68.65
suzy,68.64,68.67,Z,2,68.65,68.66
suzy,68.64,68.67,IY,3,68.66,68.67
hello,68.67,68.97,HH,1,68.67,68.68
hello,68.67,68.97,AH,2,68.68,68.74
hello,68.67,68.97,L,3,68.74,68.96
hello,68.67,68.97,OW,4,68.96,68.97
pepper,68.97,69.01,P,1,68.97,68.98
pepper,68.97,69.01,EH,2,68.98,68.99
pepper,68.97,69.01,P,3,68.99,69.0
pepper,68.97,69.01,ER,4,69.0,69.01
yes,69.01,69.04,Y,1,69.01,69.02
yes,69.01,69.04,EH,2,69.02,69.03
yes,69.01,69.04,S,3,69.03,69.04
george,69.04,69.05,JH,1,69.04,69.05
[SIL],69.05,69.28,[SIL],1,69.05,69.28
george,69.28,69.31,AO,1,69.28,69.29
george,69.28,69.31,R,2,69.29,69.3
george,69.28,69.31,JH,3,69.3,69.31
it's,69.31,69.44,IH,1,69.31,69.38
it's,69.31,69.44,T,2,69.38,69.44
[SIL],69.44,69.48,[SIL],1,69.44,69.48
it's,69.48,69.52,S,1,69.48,69.52
a,69.52,69.62,AH,1,69.52,69.62
blue,69.62,69.73,B,1,69.62,69.63
blue,69.62,69.73,L,2,69.63,69.73
[SIL],69.73,69.93,[SIL],1,69.73,69.93
blue,69.93,70.17,L,1,69.93,69.97
blue,69.93,70.17,UW,2,69.97,70.17
car,70.17,70.42,K,1,70.17,70.32
